rank,CHP_ID,Chinese_herbal_pieces,comprehensive_score,total_score,effective_avg,high_quality_avg,ultra_high_count,high_quality_ratio
926,CHP02082,孔雀草,0.38351930540334384,7.6926991,0.76926991,0.8895133866666667,2.0,0.3
927,CHP00076,白附子,0.3834738584319501,39.36418498,0.6786928444827586,0.861750761111111,2.0,0.3103448275862069
928,CHP02908,木贼,0.38347076413185394,10.91419058,0.68213691125,0.8690632928571428,0.0,0.4375
929,CHP00175,百脉根,0.3834225078651213,10.93850016,0.7292333440000001,0.8462612033333333,1.0,0.4
930,CHP04834,雪胆,0.38330337852232926,10.98026213,0.7320174753333333,0.88923124,2.0,0.3333333333333333
931,CHP03134,蒲公英,0.3832705464630928,24.79702253,0.7293241920588235,0.8880794844444444,4.0,0.2647058823529412
932,CHP01739,黄菀,0.38296713405362026,5.15381757,0.7362596528571429,0.8391898566666667,0.0,0.42857142857142855
933,CHP01853,剪秋罗,0.38273179861246254,2.2462449500000004,0.7487483166666667,0.90357935,1.0,0.3333333333333333
934,CHP00998,翻白草,0.38269279824684566,11.451318910000001,0.7634212606666667,0.8566379099999999,1.0,0.3333333333333333
935,CHP03429,桑椹,0.38258119164724813,21.597026449999998,0.6544553469696969,0.8702215838461539,5.0,0.3939393939393939
936,CHP06120,绒白乳菇,0.3824109982152665,10.71706177,0.7144707846666667,0.8567377783333333,1.0,0.4
937,CHP03426,桑寄生,0.382354377755827,4.28441274,0.7140687899999999,0.925765455,2.0,0.3333333333333333
938,CHP05030,野甘草,0.3822559307316157,12.00405152,0.6668917511111112,0.8275618533333333,0.0,0.5
939,CHP05087,野鸦椿,0.38187632286151674,2.393694,0.797898,0.8531432,0.0,0.3333333333333333
940,CHP00361,陈皮,0.3817631631215569,66.23129841000001,0.6430223146601942,0.868362848,6.0,0.1941747572815534
941,CHP04838,雪莲,0.3815227013038629,18.53136658,0.7127448684615385,0.8671792266666666,1.0,0.34615384615384615
942,CHP05221,油茶根皮,0.38138756524399847,4.84882145,0.6926887785714285,0.8759255933333333,0.0,0.42857142857142855
943,CHP04524,仙鹤草,0.38117294232202903,8.46448768,0.76949888,0.8341455099999999,0.0,0.36363636363636365
944,CHP01241,古柯,0.38090015506810476,8.502551089999999,0.7085459241666666,0.8503245039999999,1.0,0.4166666666666667
945,CHP00762,吊干麻,0.380618022986688,15.71457277,0.7142987622727273,0.86130935875,0.0,0.36363636363636365
946,CHP04523,夏至草,0.3806016801733882,9.967735699999999,0.7667488999999998,0.8707594125,0.0,0.3076923076923077
947,CHP01125,甘青铁线莲,0.38058745172681485,4.41770084,0.7362834733333333,0.897756395,1.0,0.3333333333333333
948,CHP00508,大花糙苏,0.3805822864084853,1.4300741700000001,0.7150370850000001,0.8078915,0.0,0.5
949,CHP00068,白杜鹃花,0.3803789661092855,13.40477466,0.7447097033333333,0.8569738266666667,1.0,0.3333333333333333
950,CHP04244,土三七,0.3802771457768809,10.87786477,0.7251909846666666,0.8777786800000001,3.0,0.3333333333333333
951,CHP01641,黄甘草,0.38013525516868923,2.84415365,0.7110384125,0.8047279,0.0,0.5
952,CHP04816,徐长卿,0.38010183842319284,10.32320591,0.6882137273333334,0.9088026680000001,5.0,0.3333333333333333
953,CHP01450,红筷子,0.3800304268026146,2.38010258,0.7933675266666667,0.84849155,0.0,0.3333333333333333
954,CHP04190,桐油,0.3798353479886726,7.5584214,0.75584214,0.8884939099999999,1.0,0.3
955,CHP01364,荷叶,0.37963075397519896,20.19016957,0.6512957925806451,0.8549833353846155,2.0,0.41935483870967744
956,CHP00292,布渣叶,0.3794779605682004,13.578360240000002,0.6789180120000001,0.8676556612499999,1.0,0.4
957,CHP00974,耳草,0.37941346130949927,7.99477588,0.7267978072727272,0.8696858075,0.0,0.36363636363636365
958,CHP02418,龙血树,0.3793448691446512,15.323219020000002,0.6965099554545455,0.8941682185714287,4.0,0.3181818181818182
959,CHP03504,山矾根,0.37916271155408193,2.8078250999999996,0.7019562749999999,0.8090739,0.0,0.5
960,CHP02839,母菊,0.37879904152419014,7.4200114699999995,0.742001147,0.8941309633333333,2.0,0.3
